Epoch,T_Loss,V_Loss,Top1_Acc,Top5_Acc,F1_Score,Precision,Recall
0,0.1652,1.5945,88.33,96.67,87.55,90.68,88.33
1,0.1182,1.5377,88.33,96.67,87.55,90.68,88.33
2,0.1108,1.4730,88.67,96.67,87.89,90.93,88.67
3,0.1074,1.4085,88.67,96.67,87.89,90.93,88.67
4,0.1054,1.3471,89.33,96.67,88.66,91.51,89.33
5,0.1036,1.2863,89.67,96.67,89.00,91.85,89.67
6,0.1018,1.2290,90.00,97.00,89.28,91.95,90.00
7,0.1008,1.1767,90.00,97.00,89.25,91.85,90.00
8,0.0974,1.1255,90.33,97.00,89.72,92.20,90.33
9,0.0966,1.0786,90.33,97.33,89.69,91.77,90.33
10,0.0946,1.0360,90.00,97.33,89.29,91.27,90.00
11,0.0922,0.9972,90.33,97.33,89.63,91.52,90.33
12,0.0913,0.9618,90.33,97.33,89.63,91.52,90.33
13,0.0888,0.9289,91.33,97.33,90.68,92.42,91.33
14,0.0876,0.9003,91.33,97.67,90.68,92.42,91.33
15,0.0864,0.8743,92.00,97.67,91.43,93.17,92.00
16,0.0846,0.8516,92.00,97.67,91.43,93.17,92.00
17,0.0854,0.8316,92.00,97.67,91.43,93.17,92.00
18,0.0844,0.8130,92.00,97.67,91.39,93.07,92.00
19,0.0847,0.7975,92.00,97.67,91.39,93.07,92.00
