Epoch,T_Loss,V_Loss,Top1_Acc,Top5_Acc,F1_Score,Precision,Recall
0,0.2115,1.5427,88.00,96.67,87.24,90.53,88.00
1,0.1567,1.4345,88.00,96.67,87.24,90.53,88.00
2,0.1447,1.3281,88.33,96.67,87.69,90.43,88.33
3,0.1397,1.2267,89.00,96.67,88.46,91.01,89.00
4,0.1431,1.1300,89.00,96.67,88.46,91.01,89.00
5,0.1370,1.0392,89.00,97.00,88.39,90.83,89.00
6,0.1353,0.9560,89.33,97.33,88.68,91.00,89.33
7,0.1279,0.8794,89.33,97.33,88.67,90.73,89.33
8,0.1290,0.8141,89.33,97.67,88.67,90.73,89.33
9,0.1228,0.7577,90.33,97.67,89.67,91.17,90.33
10,0.1241,0.7108,90.00,97.67,89.36,91.02,90.00
11,0.1196,0.6705,90.00,97.67,89.36,91.02,90.00
12,0.1162,0.6371,90.00,97.67,89.40,90.77,90.00
13,0.1126,0.6083,90.00,98.00,89.38,90.58,90.00
14,0.1117,0.5839,90.33,98.33,89.70,91.00,90.33
15,0.1072,0.5617,90.00,98.33,89.25,91.10,90.00
16,0.1056,0.5415,90.00,98.33,89.30,90.85,90.00
17,0.0998,0.5234,90.33,98.33,89.74,91.10,90.33
18,0.1001,0.5081,90.67,98.33,90.08,91.35,90.67
19,0.1010,0.4954,90.67,98.33,90.08,91.35,90.67
20,0.0955,0.4833,90.33,98.33,89.74,91.10,90.33
21,0.0957,0.4732,90.33,98.33,89.74,91.10,90.33
22,0.0929,0.4642,90.33,98.33,89.74,91.10,90.33
23,0.0944,0.4569,90.33,98.33,89.74,91.10,90.33
24,0.0943,0.4506,90.33,98.33,89.74,91.10,90.33
