Epoch,T_Loss,V_Loss,Top1_Acc,Top5_Acc,F1_Score,Precision,Recall
0,0.2572,1.5351,88.33,96.67,87.55,90.68,88.33
1,0.2067,1.4234,88.33,96.67,87.55,90.68,88.33
2,0.2057,1.3141,88.67,96.67,87.89,90.93,88.67
3,0.2036,1.2124,88.67,96.67,88.02,91.03,88.67
4,0.2006,1.1144,89.00,96.67,88.46,91.36,89.00
5,0.1945,1.0235,89.00,97.00,88.46,91.36,89.00
6,0.1937,0.9430,89.00,97.00,88.46,91.36,89.00
7,0.1879,0.8724,89.33,97.33,88.90,91.61,89.33
8,0.1798,0.8092,89.67,97.67,89.19,91.93,89.67
9,0.1768,0.7546,89.67,98.00,89.13,91.32,89.67
10,0.1751,0.7087,90.00,98.00,89.37,91.67,90.00
11,0.1683,0.6687,89.67,98.00,89.07,91.17,89.67
12,0.1647,0.6361,89.67,98.00,89.07,91.17,89.67
13,0.1611,0.6065,89.67,98.00,89.07,91.17,89.67
14,0.1531,0.5808,89.33,98.00,88.65,90.77,89.33
15,0.1533,0.5578,89.33,98.00,88.65,90.77,89.33
16,0.1441,0.5379,90.33,98.00,89.77,91.60,90.33
17,0.1412,0.5202,90.33,98.33,89.74,91.42,90.33
18,0.1409,0.5044,90.33,98.33,89.70,91.32,90.33
19,0.1418,0.4900,90.33,98.33,89.70,91.32,90.33
