Epoch,T_Loss,V_Loss,Top1_Acc,Top5_Acc,F1_Score,Precision,Recall
0,4.2479,4.6243,1.33,5.00,0.71,0.55,1.33
1,3.4853,4.6079,1.67,6.67,1.09,0.97,1.67
2,3.0050,4.5814,2.67,9.67,2.16,2.43,2.67
3,2.7535,4.5439,5.00,15.67,3.87,3.81,5.00
4,2.6479,4.4925,9.67,25.33,8.00,9.08,9.67
5,2.5911,4.4237,16.67,38.67,13.50,14.73,16.67
6,2.5425,4.3343,24.33,50.67,19.00,18.61,24.33
7,2.4704,4.2238,33.67,59.67,28.01,28.91,33.67
8,2.4061,4.0950,43.33,70.33,37.18,38.75,43.33
9,2.3690,3.9502,51.00,79.67,44.62,45.92,51.00
10,2.3073,3.7877,54.00,84.00,48.68,52.10,54.00
11,2.2545,3.6184,57.67,86.33,52.26,54.99,57.67
12,2.2352,3.4490,61.33,88.33,56.55,59.97,61.33
13,2.1923,3.2848,64.33,90.33,60.27,64.94,64.33
14,2.1684,3.1238,67.67,92.33,63.71,68.22,67.67
15,2.1476,2.9761,71.33,94.00,68.17,73.85,71.33
16,2.1188,2.8373,74.67,95.67,71.80,76.27,74.67
17,2.0838,2.7103,76.33,96.00,74.02,79.94,76.33
18,2.0809,2.5940,77.33,96.33,75.23,80.60,77.33
19,2.0662,2.4883,78.67,96.33,76.71,81.24,78.67
20,2.0239,2.3925,80.00,96.33,77.92,81.95,80.00
21,2.0170,2.3086,81.00,96.67,79.12,83.35,81.00
22,2.0037,2.2329,82.67,96.67,81.11,85.40,82.67
23,1.9690,2.1650,84.33,96.67,83.16,87.98,84.33
24,1.9691,2.1055,85.00,96.67,83.91,88.38,85.00
25,1.9453,2.0494,85.67,96.67,84.56,89.13,85.67
26,1.9481,2.0004,86.00,96.67,84.86,89.30,86.00
27,1.9107,1.9559,86.33,97.00,85.30,89.55,86.33
28,1.8941,1.9192,86.67,97.00,85.65,89.80,86.67
29,1.8820,1.8857,87.33,97.00,86.32,90.38,87.33
30,1.8973,1.8545,87.00,97.00,85.88,90.13,87.00
31,1.8578,1.8268,88.00,97.00,86.95,90.65,88.00
32,1.8629,1.8027,88.33,97.33,87.29,90.90,88.33
33,1.8417,1.7834,88.67,97.33,87.54,90.90,88.67
34,1.8325,1.7673,89.00,97.67,87.88,91.15,89.00
35,1.8224,1.7529,89.00,97.67,87.88,91.15,89.00
36,1.8072,1.7395,89.33,97.67,88.22,91.40,89.33
37,1.7962,1.7269,89.67,97.67,88.59,91.83,89.67
38,1.7970,1.7149,89.67,97.67,88.59,91.83,89.67
39,1.7758,1.7052,90.00,97.67,89.10,91.98,90.00
40,1.7648,1.6956,90.33,97.67,89.50,92.13,90.33
41,1.7532,1.6857,90.33,97.67,89.50,92.13,90.33
42,1.7363,1.6778,90.33,98.00,89.50,92.13,90.33
43,1.7255,1.6703,90.67,98.00,89.94,92.40,90.67
44,1.7107,1.6634,90.67,98.00,89.94,92.40,90.67
45,1.7148,1.6566,91.00,98.00,90.24,92.55,91.00
46,1.6887,1.6505,91.00,98.33,90.24,92.55,91.00
47,1.6839,1.6436,90.67,98.33,89.56,91.20,90.67
48,1.6897,1.6366,90.67,98.33,89.56,91.20,90.67
49,1.6690,1.6305,90.67,98.33,89.56,91.20,90.67
50,1.6606,1.6244,90.67,98.33,89.56,91.20,90.67
51,1.6613,1.6183,90.67,98.33,89.61,90.95,90.67
52,1.6390,1.6126,91.00,98.33,90.21,92.10,91.00
53,1.6347,1.6081,91.33,98.33,90.65,92.43,91.33
54,1.6210,1.6040,91.33,98.33,90.65,92.43,91.33
55,1.6085,1.5994,91.67,98.33,91.03,92.78,91.67
56,1.6213,1.5954,92.00,98.33,91.37,93.03,92.00
57,1.6131,1.5919,92.00,98.33,91.37,93.03,92.00
58,1.6034,1.5896,92.00,98.00,91.37,93.03,92.00
59,1.5895,1.5880,92.00,98.00,91.37,93.03,92.00
60,1.5883,1.5870,92.00,98.00,91.37,93.03,92.00
61,1.5743,1.5870,92.00,98.33,91.37,93.03,92.00
62,1.5680,1.5852,92.00,98.33,91.46,93.28,92.00
63,1.5800,1.5835,92.33,98.33,91.81,93.53,92.33
64,1.5711,1.5828,92.67,98.33,92.18,93.85,92.67
65,1.5641,1.5812,93.00,98.33,92.49,94.00,93.00
66,1.5686,1.5802,93.00,98.33,92.49,94.00,93.00
67,1.5553,1.5797,92.67,98.33,92.15,93.75,92.67
68,1.5580,1.5795,92.67,98.00,92.15,93.75,92.67
69,1.5660,1.5797,92.33,98.00,91.80,93.50,92.33
70,1.5519,1.5797,92.33,97.67,91.80,93.50,92.33
71,1.5653,1.5812,92.33,97.67,91.80,93.50,92.33
72,1.5574,1.5818,92.33,97.33,91.80,93.50,92.33
73,1.5657,1.5828,91.67,97.67,91.12,93.00,91.67
74,1.5602,1.5838,91.67,97.67,91.12,93.00,91.67
