Epoch 0 | T-Loss: 3.3181 | V-Loss: 4.6008 | Top-1: 2.00% | Top-5: 4.67% | F1: 0.50%
Epoch 1 | T-Loss: 2.1694 | V-Loss: 4.4823 | Top-1: 5.33% | Top-5: 18.00% | F1: 3.47%
Epoch 2 | T-Loss: 2.3061 | V-Loss: 4.2703 | Top-1: 24.00% | Top-5: 44.33% | F1: 17.62%
Epoch 3 | T-Loss: 2.2967 | V-Loss: 3.9809 | Top-1: 36.33% | Top-5: 61.67% | F1: 30.30%
Epoch 4 | T-Loss: 2.1333 | V-Loss: 3.6865 | Top-1: 44.67% | Top-5: 73.67% | F1: 39.26%
Epoch 5 | T-Loss: 1.9899 | V-Loss: 3.4168 | Top-1: 49.67% | Top-5: 78.33% | F1: 44.28%
Epoch 6 | T-Loss: 1.8989 | V-Loss: 3.1730 | Top-1: 54.00% | Top-5: 79.67% | F1: 48.63%
Epoch 7 | T-Loss: 1.7960 | V-Loss: 2.9481 | Top-1: 58.00% | Top-5: 81.00% | F1: 53.35%
Epoch 8 | T-Loss: 1.7140 | V-Loss: 2.7352 | Top-1: 59.67% | Top-5: 85.33% | F1: 55.07%
Epoch 9 | T-Loss: 1.6355 | V-Loss: 2.5322 | Top-1: 61.33% | Top-5: 85.67% | F1: 57.23%
Epoch 10 | T-Loss: 1.5681 | V-Loss: 2.3491 | Top-1: 65.00% | Top-5: 86.00% | F1: 61.63%
Epoch 11 | T-Loss: 1.5029 | V-Loss: 2.1822 | Top-1: 66.67% | Top-5: 87.33% | F1: 63.44%
Epoch 12 | T-Loss: 1.4447 | V-Loss: 2.0352 | Top-1: 69.00% | Top-5: 88.33% | F1: 65.65%
Epoch 13 | T-Loss: 1.3790 | V-Loss: 1.9102 | Top-1: 72.33% | Top-5: 89.33% | F1: 69.69%
Epoch 14 | T-Loss: 1.3096 | V-Loss: 1.8049 | Top-1: 74.00% | Top-5: 89.67% | F1: 71.43%
Epoch 15 | T-Loss: 1.2733 | V-Loss: 1.7199 | Top-1: 75.67% | Top-5: 90.67% | F1: 73.24%
Epoch 16 | T-Loss: 1.2221 | V-Loss: 1.6483 | Top-1: 76.00% | Top-5: 92.00% | F1: 73.80%
Epoch 17 | T-Loss: 1.2012 | V-Loss: 1.5891 | Top-1: 77.33% | Top-5: 92.33% | F1: 75.31%
Epoch 18 | T-Loss: 1.1757 | V-Loss: 1.5409 | Top-1: 78.00% | Top-5: 93.33% | F1: 75.82%
Epoch 19 | T-Loss: 1.1686 | V-Loss: 1.5019 | Top-1: 78.33% | Top-5: 94.33% | F1: 76.47%
