Epoch 0 | T-Loss: 2.6222 | V-Loss: 4.5721 | Top-1: 3.00% | Top-5: 10.00% | F1: 1.30%
Epoch 1 | T-Loss: 1.8425 | V-Loss: 4.4354 | Top-1: 10.67% | Top-5: 23.33% | F1: 6.96%
Epoch 2 | T-Loss: 1.6629 | V-Loss: 4.2499 | Top-1: 20.00% | Top-5: 41.33% | F1: 16.07%
Epoch 3 | T-Loss: 1.5580 | V-Loss: 4.0183 | Top-1: 30.00% | Top-5: 56.00% | F1: 24.36%
Epoch 4 | T-Loss: 1.4811 | V-Loss: 3.7489 | Top-1: 41.67% | Top-5: 70.00% | F1: 36.71%
Epoch 5 | T-Loss: 1.4207 | V-Loss: 3.4580 | Top-1: 47.00% | Top-5: 75.67% | F1: 42.57%
Epoch 6 | T-Loss: 1.3714 | V-Loss: 3.1602 | Top-1: 54.33% | Top-5: 81.67% | F1: 49.87%
Epoch 7 | T-Loss: 1.3247 | V-Loss: 2.8749 | Top-1: 60.00% | Top-5: 84.67% | F1: 56.31%
Epoch 8 | T-Loss: 1.2870 | V-Loss: 2.6131 | Top-1: 65.33% | Top-5: 87.67% | F1: 61.87%
Epoch 9 | T-Loss: 1.2565 | V-Loss: 2.3807 | Top-1: 68.67% | Top-5: 89.33% | F1: 65.26%
Epoch 10 | T-Loss: 1.2130 | V-Loss: 2.1796 | Top-1: 71.33% | Top-5: 90.00% | F1: 68.64%
Epoch 11 | T-Loss: 1.1769 | V-Loss: 2.0083 | Top-1: 76.33% | Top-5: 91.00% | F1: 74.62%
Epoch 12 | T-Loss: 1.1567 | V-Loss: 1.8654 | Top-1: 78.00% | Top-5: 91.67% | F1: 75.70%
Epoch 13 | T-Loss: 1.1220 | V-Loss: 1.7471 | Top-1: 79.33% | Top-5: 92.33% | F1: 77.04%
Epoch 14 | T-Loss: 1.0998 | V-Loss: 1.6487 | Top-1: 80.33% | Top-5: 92.67% | F1: 78.69%
Epoch 15 | T-Loss: 1.0746 | V-Loss: 1.5686 | Top-1: 81.33% | Top-5: 94.00% | F1: 79.66%
Epoch 16 | T-Loss: 1.0719 | V-Loss: 1.5035 | Top-1: 81.67% | Top-5: 93.67% | F1: 79.97%
Epoch 17 | T-Loss: 1.0671 | V-Loss: 1.4513 | Top-1: 83.00% | Top-5: 94.00% | F1: 81.42%
Epoch 18 | T-Loss: 1.0549 | V-Loss: 1.4098 | Top-1: 84.33% | Top-5: 94.67% | F1: 82.78%
Epoch 19 | T-Loss: 1.0537 | V-Loss: 1.3762 | Top-1: 84.67% | Top-5: 94.67% | F1: 83.41%
