Epoch 0 | T-Loss: 2.7699 | V-Loss: 4.6050 | Top-1: 2.00% | Top-5: 8.67% | F1: 1.35%
Epoch 1 | T-Loss: 1.7776 | V-Loss: 4.4945 | Top-1: 5.67% | Top-5: 16.67% | F1: 4.13%
Epoch 2 | T-Loss: 1.9164 | V-Loss: 4.3003 | Top-1: 18.00% | Top-5: 36.00% | F1: 14.60%
Epoch 3 | T-Loss: 1.9170 | V-Loss: 4.0634 | Top-1: 34.33% | Top-5: 65.33% | F1: 30.07%
Epoch 4 | T-Loss: 1.7614 | V-Loss: 3.8337 | Top-1: 52.00% | Top-5: 77.00% | F1: 48.20%
Epoch 5 | T-Loss: 1.6519 | V-Loss: 3.5941 | Top-1: 64.00% | Top-5: 85.00% | F1: 61.35%
Epoch 6 | T-Loss: 1.5690 | V-Loss: 3.3117 | Top-1: 69.33% | Top-5: 90.00% | F1: 67.68%
Epoch 7 | T-Loss: 1.4912 | V-Loss: 2.9988 | Top-1: 73.00% | Top-5: 92.00% | F1: 70.96%
Epoch 8 | T-Loss: 1.4199 | V-Loss: 2.6778 | Top-1: 74.67% | Top-5: 92.67% | F1: 73.12%
Epoch 9 | T-Loss: 1.3624 | V-Loss: 2.3654 | Top-1: 77.00% | Top-5: 93.67% | F1: 75.54%
Epoch 10 | T-Loss: 1.2906 | V-Loss: 2.0940 | Top-1: 78.67% | Top-5: 94.00% | F1: 77.09%
Epoch 11 | T-Loss: 1.2407 | V-Loss: 1.8736 | Top-1: 80.33% | Top-5: 95.33% | F1: 78.87%
Epoch 12 | T-Loss: 1.1876 | V-Loss: 1.6967 | Top-1: 81.33% | Top-5: 95.33% | F1: 79.82%
Epoch 13 | T-Loss: 1.1321 | V-Loss: 1.5609 | Top-1: 82.00% | Top-5: 96.00% | F1: 80.48%
Epoch 14 | T-Loss: 1.0965 | V-Loss: 1.4613 | Top-1: 82.67% | Top-5: 96.33% | F1: 81.19%
Epoch 15 | T-Loss: 1.0645 | V-Loss: 1.3899 | Top-1: 83.00% | Top-5: 96.67% | F1: 81.48%
Epoch 16 | T-Loss: 1.0416 | V-Loss: 1.3364 | Top-1: 84.00% | Top-5: 97.00% | F1: 82.50%
Epoch 17 | T-Loss: 1.0189 | V-Loss: 1.2949 | Top-1: 85.33% | Top-5: 97.00% | F1: 83.76%
Epoch 18 | T-Loss: 1.0064 | V-Loss: 1.2625 | Top-1: 85.67% | Top-5: 97.00% | F1: 84.09%
Epoch 19 | T-Loss: 0.9955 | V-Loss: 1.2366 | Top-1: 86.33% | Top-5: 97.00% | F1: 84.73%
