Epoch 0 | T-Loss: 2.6897 | Val Acc: 4.00% | Top-5: 12.67% | F1: 2.55%
Epoch 1 | T-Loss: 1.8058 | Val Acc: 15.67% | Top-5: 38.33% | F1: 11.56%
Epoch 2 | T-Loss: 1.9657 | Val Acc: 44.33% | Top-5: 73.67% | F1: 39.93%
Epoch 3 | T-Loss: 1.9661 | Val Acc: 67.67% | Top-5: 89.00% | F1: 64.59%
Epoch 4 | T-Loss: 1.8625 | Val Acc: 75.33% | Top-5: 94.00% | F1: 72.89%
Epoch 5 | T-Loss: 1.7219 | Val Acc: 79.33% | Top-5: 95.33% | F1: 77.99%
Epoch 6 | T-Loss: 1.6211 | Val Acc: 80.00% | Top-5: 95.67% | F1: 78.75%
Epoch 7 | T-Loss: 1.5478 | Val Acc: 80.67% | Top-5: 95.33% | F1: 79.38%
Epoch 8 | T-Loss: 1.4869 | Val Acc: 82.00% | Top-5: 96.00% | F1: 80.54%
Epoch 9 | T-Loss: 1.4406 | Val Acc: 82.33% | Top-5: 96.33% | F1: 80.94%
Epoch 10 | T-Loss: 1.3907 | Val Acc: 84.33% | Top-5: 97.00% | F1: 82.99%
Epoch 11 | T-Loss: 1.3419 | Val Acc: 85.67% | Top-5: 97.00% | F1: 84.43%
Epoch 12 | T-Loss: 1.2951 | Val Acc: 86.00% | Top-5: 97.33% | F1: 85.27%
Epoch 13 | T-Loss: 1.2770 | Val Acc: 86.33% | Top-5: 97.33% | F1: 85.50%
Epoch 14 | T-Loss: 1.2271 | Val Acc: 87.00% | Top-5: 97.33% | F1: 86.15%
Epoch 15 | T-Loss: 1.2007 | Val Acc: 88.33% | Top-5: 97.33% | F1: 87.65%
Epoch 16 | T-Loss: 1.1613 | Val Acc: 88.33% | Top-5: 97.00% | F1: 87.70%
Epoch 17 | T-Loss: 1.1399 | Val Acc: 88.67% | Top-5: 97.33% | F1: 87.99%
Epoch 18 | T-Loss: 1.1142 | Val Acc: 88.00% | Top-5: 97.33% | F1: 87.24%
Epoch 19 | T-Loss: 1.0902 | Val Acc: 88.33% | Top-5: 97.33% | F1: 87.72%
Epoch 20 | T-Loss: 1.0642 | Val Acc: 89.00% | Top-5: 97.67% | F1: 88.40%
Epoch 21 | T-Loss: 1.0392 | Val Acc: 89.00% | Top-5: 97.67% | F1: 88.42%
Epoch 22 | T-Loss: 1.0219 | Val Acc: 89.67% | Top-5: 97.67% | F1: 89.04%
Epoch 23 | T-Loss: 0.9987 | Val Acc: 90.33% | Top-5: 97.67% | F1: 89.66%
Epoch 24 | T-Loss: 0.9941 | Val Acc: 90.33% | Top-5: 97.67% | F1: 89.66%
Epoch 25 | T-Loss: 0.9779 | Val Acc: 90.00% | Top-5: 97.67% | F1: 89.33%
Epoch 26 | T-Loss: 0.9637 | Val Acc: 90.67% | Top-5: 97.67% | F1: 90.04%
Epoch 27 | T-Loss: 0.9673 | Val Acc: 90.67% | Top-5: 98.00% | F1: 90.04%
Epoch 28 | T-Loss: 0.9577 | Val Acc: 90.67% | Top-5: 98.33% | F1: 90.04%
Epoch 29 | T-Loss: 0.9580 | Val Acc: 90.33% | Top-5: 98.33% | F1: 89.59%
