Epoch 0 | T-Loss: 2.1345 | V-Loss: 4.5837 | Top-1: 2.33% | Top-5: 7.67% | F1: 1.73%
Epoch 1 | T-Loss: 1.4977 | V-Loss: 4.4579 | Top-1: 6.00% | Top-5: 16.67% | F1: 4.34%
Epoch 2 | T-Loss: 1.3982 | V-Loss: 4.2923 | Top-1: 16.33% | Top-5: 37.67% | F1: 14.30%
Epoch 3 | T-Loss: 1.3154 | V-Loss: 4.0836 | Top-1: 31.00% | Top-5: 53.67% | F1: 27.65%
Epoch 4 | T-Loss: 1.2794 | V-Loss: 3.8342 | Top-1: 42.00% | Top-5: 68.00% | F1: 37.70%
Epoch 5 | T-Loss: 1.2430 | V-Loss: 3.5492 | Top-1: 55.00% | Top-5: 79.33% | F1: 50.14%
Epoch 6 | T-Loss: 1.2117 | V-Loss: 3.2466 | Top-1: 61.33% | Top-5: 83.00% | F1: 57.47%
Epoch 7 | T-Loss: 1.1877 | V-Loss: 2.9359 | Top-1: 68.67% | Top-5: 88.00% | F1: 65.45%
Epoch 8 | T-Loss: 1.1587 | V-Loss: 2.6367 | Top-1: 72.67% | Top-5: 91.00% | F1: 70.65%
Epoch 9 | T-Loss: 1.1218 | V-Loss: 2.3550 | Top-1: 78.00% | Top-5: 92.67% | F1: 76.61%
Epoch 10 | T-Loss: 1.1043 | V-Loss: 2.1083 | Top-1: 82.00% | Top-5: 94.00% | F1: 80.79%
Epoch 11 | T-Loss: 1.0731 | V-Loss: 1.8964 | Top-1: 84.67% | Top-5: 95.33% | F1: 83.50%
Epoch 12 | T-Loss: 1.0591 | V-Loss: 1.7263 | Top-1: 86.00% | Top-5: 95.67% | F1: 85.07%
Epoch 13 | T-Loss: 1.0288 | V-Loss: 1.5912 | Top-1: 86.33% | Top-5: 96.33% | F1: 85.41%
Epoch 14 | T-Loss: 1.0096 | V-Loss: 1.4841 | Top-1: 86.33% | Top-5: 96.67% | F1: 85.37%
Epoch 15 | T-Loss: 0.9946 | V-Loss: 1.4023 | Top-1: 86.33% | Top-5: 96.67% | F1: 85.42%
Epoch 16 | T-Loss: 0.9734 | V-Loss: 1.3401 | Top-1: 88.00% | Top-5: 97.33% | F1: 87.33%
Epoch 17 | T-Loss: 0.9622 | V-Loss: 1.2918 | Top-1: 88.00% | Top-5: 97.67% | F1: 87.32%
Epoch 18 | T-Loss: 0.9604 | V-Loss: 1.2539 | Top-1: 88.00% | Top-5: 97.67% | F1: 87.32%
Epoch 19 | T-Loss: 0.9494 | V-Loss: 1.2246 | Top-1: 88.00% | Top-5: 97.67% | F1: 87.33%
