Epoch 0 | T-Loss: 3.0280 | V-Loss: 4.6037 | Top-1: 1.00% | Top-5: 5.33% | F1: 0.50%
Epoch 1 | T-Loss: 1.6533 | V-Loss: 4.5336 | Top-1: 4.33% | Top-5: 15.00% | F1: 2.67%
Epoch 2 | T-Loss: 1.6545 | V-Loss: 4.4000 | Top-1: 16.00% | Top-5: 37.67% | F1: 12.14%
Epoch 3 | T-Loss: 1.6602 | V-Loss: 4.1989 | Top-1: 34.33% | Top-5: 62.67% | F1: 29.53%
Epoch 4 | T-Loss: 1.5617 | V-Loss: 3.9390 | Top-1: 54.33% | Top-5: 77.33% | F1: 50.84%
Epoch 5 | T-Loss: 1.4804 | V-Loss: 3.6411 | Top-1: 63.00% | Top-5: 89.00% | F1: 60.88%
Epoch 6 | T-Loss: 1.4108 | V-Loss: 3.3133 | Top-1: 72.33% | Top-5: 92.67% | F1: 70.72%
Epoch 7 | T-Loss: 1.3523 | V-Loss: 2.9663 | Top-1: 75.33% | Top-5: 93.00% | F1: 74.24%
Epoch 8 | T-Loss: 1.2894 | V-Loss: 2.6181 | Top-1: 79.00% | Top-5: 95.67% | F1: 78.20%
Epoch 9 | T-Loss: 1.2391 | V-Loss: 2.3027 | Top-1: 81.33% | Top-5: 95.67% | F1: 80.11%
Epoch 10 | T-Loss: 1.1991 | V-Loss: 2.0260 | Top-1: 82.00% | Top-5: 96.33% | F1: 80.86%
Epoch 11 | T-Loss: 1.1497 | V-Loss: 1.8054 | Top-1: 82.00% | Top-5: 96.67% | F1: 80.98%
Epoch 12 | T-Loss: 1.1043 | V-Loss: 1.6379 | Top-1: 83.67% | Top-5: 96.67% | F1: 82.42%
Epoch 13 | T-Loss: 1.0740 | V-Loss: 1.5133 | Top-1: 84.67% | Top-5: 96.33% | F1: 83.29%
Epoch 14 | T-Loss: 1.0391 | V-Loss: 1.4194 | Top-1: 85.33% | Top-5: 97.00% | F1: 84.03%
Epoch 15 | T-Loss: 1.0069 | V-Loss: 1.3497 | Top-1: 86.67% | Top-5: 97.33% | F1: 85.40%
Epoch 16 | T-Loss: 0.9794 | V-Loss: 1.2972 | Top-1: 86.67% | Top-5: 97.33% | F1: 85.40%
Epoch 17 | T-Loss: 0.9684 | V-Loss: 1.2583 | Top-1: 87.33% | Top-5: 97.67% | F1: 86.27%
Epoch 18 | T-Loss: 0.9661 | V-Loss: 1.2280 | Top-1: 87.67% | Top-5: 97.67% | F1: 86.57%
Epoch 19 | T-Loss: 0.9611 | V-Loss: 1.2042 | Top-1: 88.00% | Top-5: 97.67% | F1: 87.25%
