Epoch 0 | T-Loss: 2.8602 | Val Acc: 4.67% | Top-5: 13.00% | F1: 3.42%
Epoch 1 | T-Loss: 1.6367 | Val Acc: 19.33% | Top-5: 43.00% | F1: 15.33%
Epoch 2 | T-Loss: 1.6612 | Val Acc: 45.00% | Top-5: 72.00% | F1: 41.46%
Epoch 3 | T-Loss: 1.6688 | Val Acc: 64.33% | Top-5: 87.00% | F1: 61.04%
Epoch 4 | T-Loss: 1.6089 | Val Acc: 75.33% | Top-5: 93.33% | F1: 73.25%
Epoch 5 | T-Loss: 1.5236 | Val Acc: 82.33% | Top-5: 95.33% | F1: 81.09%
Epoch 6 | T-Loss: 1.4446 | Val Acc: 83.67% | Top-5: 96.33% | F1: 81.72%
Epoch 7 | T-Loss: 1.3858 | Val Acc: 85.67% | Top-5: 96.00% | F1: 84.26%
Epoch 8 | T-Loss: 1.3480 | Val Acc: 86.33% | Top-5: 96.67% | F1: 85.27%
Epoch 9 | T-Loss: 1.3129 | Val Acc: 87.00% | Top-5: 96.33% | F1: 85.95%
Epoch 10 | T-Loss: 1.2795 | Val Acc: 87.33% | Top-5: 96.67% | F1: 86.39%
Epoch 11 | T-Loss: 1.2487 | Val Acc: 88.00% | Top-5: 97.00% | F1: 87.04%
Epoch 12 | T-Loss: 1.2150 | Val Acc: 88.67% | Top-5: 97.00% | F1: 87.82%
Epoch 13 | T-Loss: 1.1906 | Val Acc: 89.33% | Top-5: 97.00% | F1: 88.48%
Epoch 14 | T-Loss: 1.1530 | Val Acc: 89.33% | Top-5: 97.33% | F1: 88.48%
Epoch 15 | T-Loss: 1.1242 | Val Acc: 89.67% | Top-5: 97.33% | F1: 88.87%
Epoch 16 | T-Loss: 1.1039 | Val Acc: 90.00% | Top-5: 97.67% | F1: 89.38%
Epoch 17 | T-Loss: 1.0807 | Val Acc: 89.67% | Top-5: 97.67% | F1: 89.10%
Epoch 18 | T-Loss: 1.0542 | Val Acc: 90.33% | Top-5: 98.00% | F1: 89.83%
Epoch 19 | T-Loss: 1.0350 | Val Acc: 90.33% | Top-5: 98.00% | F1: 89.83%
Epoch 20 | T-Loss: 1.0173 | Val Acc: 90.33% | Top-5: 98.00% | F1: 89.79%
Epoch 21 | T-Loss: 0.9982 | Val Acc: 90.00% | Top-5: 98.00% | F1: 89.35%
Epoch 22 | T-Loss: 0.9778 | Val Acc: 90.67% | Top-5: 98.00% | F1: 89.97%
Epoch 23 | T-Loss: 0.9623 | Val Acc: 90.67% | Top-5: 98.00% | F1: 89.97%
Epoch 24 | T-Loss: 0.9618 | Val Acc: 91.00% | Top-5: 98.00% | F1: 90.29%
Epoch 25 | T-Loss: 0.9401 | Val Acc: 91.00% | Top-5: 98.00% | F1: 90.29%
Epoch 26 | T-Loss: 0.9405 | Val Acc: 91.00% | Top-5: 98.00% | F1: 90.26%
Epoch 27 | T-Loss: 0.9271 | Val Acc: 90.67% | Top-5: 98.00% | F1: 89.92%
Epoch 28 | T-Loss: 0.9331 | Val Acc: 90.67% | Top-5: 98.00% | F1: 89.92%
Epoch 29 | T-Loss: 0.9317 | Val Acc: 91.33% | Top-5: 98.00% | F1: 90.80%
