Epoch 0 | T-Loss: 2.1493 | V-Loss: 4.5852 | Top-1: 2.67% | Top-5: 8.67% | F1: 1.48%
Epoch 1 | T-Loss: 1.4120 | V-Loss: 4.5008 | Top-1: 7.00% | Top-5: 22.67% | F1: 4.87%
Epoch 2 | T-Loss: 1.2771 | V-Loss: 4.3862 | Top-1: 20.67% | Top-5: 42.67% | F1: 17.30%
Epoch 3 | T-Loss: 1.2095 | V-Loss: 4.2376 | Top-1: 32.00% | Top-5: 56.33% | F1: 27.26%
Epoch 4 | T-Loss: 1.1791 | V-Loss: 4.0587 | Top-1: 41.67% | Top-5: 66.00% | F1: 36.72%
Epoch 5 | T-Loss: 1.1324 | V-Loss: 3.8519 | Top-1: 49.67% | Top-5: 73.67% | F1: 45.96%
Epoch 6 | T-Loss: 1.0991 | V-Loss: 3.6212 | Top-1: 56.00% | Top-5: 81.33% | F1: 52.78%
Epoch 7 | T-Loss: 1.0749 | V-Loss: 3.3744 | Top-1: 60.67% | Top-5: 86.33% | F1: 58.18%
Epoch 8 | T-Loss: 1.0493 | V-Loss: 3.1250 | Top-1: 64.00% | Top-5: 89.33% | F1: 61.94%
Epoch 9 | T-Loss: 1.0281 | V-Loss: 2.8813 | Top-1: 70.00% | Top-5: 90.33% | F1: 68.25%
Epoch 10 | T-Loss: 1.0103 | V-Loss: 2.6494 | Top-1: 73.33% | Top-5: 93.33% | F1: 71.81%
Epoch 11 | T-Loss: 0.9951 | V-Loss: 2.4367 | Top-1: 75.67% | Top-5: 94.67% | F1: 73.75%
Epoch 12 | T-Loss: 0.9770 | V-Loss: 2.2451 | Top-1: 77.00% | Top-5: 94.67% | F1: 75.24%
Epoch 13 | T-Loss: 0.9689 | V-Loss: 2.0757 | Top-1: 79.67% | Top-5: 95.67% | F1: 77.86%
Epoch 14 | T-Loss: 0.9555 | V-Loss: 1.9268 | Top-1: 80.67% | Top-5: 96.00% | F1: 79.04%
Epoch 15 | T-Loss: 0.9531 | V-Loss: 1.7985 | Top-1: 83.33% | Top-5: 96.00% | F1: 82.35%
Epoch 16 | T-Loss: 0.9471 | V-Loss: 1.6891 | Top-1: 83.67% | Top-5: 96.67% | F1: 82.58%
Epoch 17 | T-Loss: 0.9285 | V-Loss: 1.5968 | Top-1: 84.67% | Top-5: 96.67% | F1: 83.53%
Epoch 18 | T-Loss: 0.9349 | V-Loss: 1.5189 | Top-1: 85.67% | Top-5: 97.00% | F1: 84.56%
Epoch 19 | T-Loss: 0.9337 | V-Loss: 1.4529 | Top-1: 86.67% | Top-5: 97.33% | F1: 85.50%
