Model,Mode,Best_Acc,Final_BS,Total_Epochs,Time_Min
resnext101_32x8d.fb_swsl_ig1b_ft_in1k,frozen_back,59.00,64,30,22.2
resnext101_32x8d.fb_wsl_ig1b_ft_in1k,frozen_back,62.00,64,30,23.5
resnext101_32x4d.fb_swsl_ig1b_ft_in1k,frozen_back,61.67,64,30,14.1
resnext101_32x8d.fb_swsl_ig1b_ft_in1k,fine_tune,78.33,64,15,33.3
resnext101_32x8d.fb_wsl_ig1b_ft_in1k,fine_tune,78.67,64,15,33.3
resnext101_32x4d.fb_swsl_ig1b_ft_in1k,fine_tune,79.33,64,15,19.8
res2net101_26w_4s.in1k,fine_tune,86.00,64,20,28.3
resnetrs200.tf_in1k,fine_tune,89.67,64,20,53.9
resnest200e.in1k,fine_tune,90.67,64,20,61.7
res2net101_26w_4s.in1k,scratch,76.33,64,100,137.4
